Year,Name,Revenue,Rank,Total_Revenue_Top_10
2020,Amazon,280522,2,2658246.1
2020,Apple,260174,4,2658246.1
2020,Alphabet,161857,11,2658246.1
2020,Microsoft,125843,21,2658246.1
2020,Facebook,70697,46,2658246.1
2019,Apple,265595,3,2518814.6
2019,Amazon,232887,5,2518814.6
2019,Alphabet,136819,15,2518814.6
2019,Microsoft,110360,26,2518814.6
2019,Facebook,55838,57,2518814.6
2018,Apple,229234,4,2296257.0
2018,Amazon,177866,8,2296257.0
2018,Alphabet,110855,22,2296257.0
2018,Microsoft,89950,30,2296257.0
2018,Facebook,40653,76,2296257.0
2017,Apple,215639,3,2166939.0
2017,Amazon,135987,12,2166939.0
2017,Alphabet,90272,27,2166939.0
2017,Microsoft,85320,28,2166939.0
2017,Facebook,27638,98,2166939.0
2016,Apple,233715,3,2113223.0
2016,Amazon,107006,18,2113223.0
2016,Microsoft,93580,25,2113223.0
2016,Alphabet,74989,36,2113223.0
2016,Facebook,17928,157,2113223.0
2015,Apple,182795,5,2186628.0
2015,Amazon,88988,29,2186628.0
2015,Microsoft,86833,31,2186628.0
2015,Alphabet,71487,40,2186628.0
2015,Facebook,12466,242,2186628.0
2014,Apple,170910,5,2204884.0
2014,Microsoft,77849,34,2204884.0
2014,Amazon,74452,35,2204884.0
2014,Alphabet,60629,46,2204884.0
2014,Facebook,7872,341,2204884.0
2013,Apple,156508,6,2213137.0
2013,Microsoft,73723,35,2213137.0
2013,Amazon,61093,49,2213137.0
2013,Alphabet,52203,55,2213137.0
2013,Facebook,5089,482,2213137.0
2012,Apple,108249,17,2225309.0
2012,Microsoft,69943,37,2225309.0
2012,Amazon,48077,56,2225309.0
2012,Alphabet,37905,73,2225309.0
2011,Apple,65225,35,1998204.0
2011,Microsoft,62484,38,1998204.0
2011,Amazon,34204,78,1998204.0
2011,Alphabet,29321,92,1998204.0
2010,Microsoft,58437,36,1774645.0
2010,Apple,36537,56,1774645.0
2010,Amazon,24509,100,1774645.0
2010,Alphabet,23650.6,102,1774645.0
2009,Microsoft,60420,35,2181534.0
2009,Apple,32479,71,2181534.0
2009,Alphabet,21795.6,117,2181534.0
2009,Amazon,19166,130,2181534.0
2008,Microsoft,51122,44,2069782.0
2008,Apple,24006,103,2069782.0
2008,Alphabet,16594,150,2069782.0
2008,Amazon,14835,171,2069782.0
2007,Microsoft,44282,49,1984181.0
2007,Apple,19315,121,1984181.0
2007,Amazon,10711,237,1984181.0
2007,Alphabet,10604.9,241,1984181.0
2006,Microsoft,39788,48,1869807.0
2006,Apple,13931,159,1869807.0
2006,Amazon,8490,272,1869807.0
2006,Alphabet,6138.6,353,1869807.0
2005,Microsoft,36835,41,1649883.0
2005,Apple,8279,263,1649883.0
2005,Amazon,6921.1,303,1649883.0
2004,Microsoft,32187,46,1443757.2
2004,Apple,6207,301,1443757.2
2004,Amazon,5263.7,342,1443757.2
2003,Microsoft,28365,47,1322393.8
2003,Apple,5742,300,1322393.8
2003,Amazon,3932.9,407,1322393.8
2002,Microsoft,25296,72,1386227.0
2002,Apple,5363,325,1386227.0
2002,Amazon,3122.4,492,1386227.0
2001,Microsoft,22956,79,1330469.0
2001,Apple,7983,236,1330469.0
2000,Microsoft,19747,84,1145624.0
2000,Apple,6134,285,1145624.0
